预测值,实际值,差值
21.44188690185547,29.0,7.558113098144531
27.03972625732422,30.0,2.9602737426757812
26.180871963500977,19.0,7.180871963500977
27.43828773498535,30.0,2.5617122650146484
26.500539779663086,20.0,6.500539779663086
26.927804946899414,29.0,2.072195053100586
27.080698013305664,30.0,2.919301986694336
27.38828468322754,30.0,2.611715316772461
26.820735931396484,30.0,3.1792640686035156
14.158863067626953,12.0,2.158863067626953
27.247488021850586,30.0,2.752511978149414
27.194284439086914,28.0,0.8057155609130859
27.34990692138672,29.0,1.6500930786132812
15.549263000488281,18.0,2.4507369995117188
25.307710647583008,27.0,1.6922893524169922
12.040085792541504,10.0,2.040085792541504
27.280553817749023,28.0,0.7194461822509766
25.492023468017578,27.0,1.5079765319824219
18.22569465637207,12.0,6.22569465637207
25.903554916381836,17.0,8.903554916381836
27.421958923339844,28.0,0.5780410766601562
27.4509220123291,30.0,2.5490779876708984
23.3480224609375,15.0,8.3480224609375
26.114309310913086,30.0,3.885690689086914
27.265663146972656,30.0,2.7343368530273438
27.45609474182129,30.0,2.543905258178711
27.215011596679688,27.0,0.2150115966796875
17.06001091003418,25.0,7.93998908996582
17.134056091308594,11.0,6.134056091308594
24.974519729614258,27.0,2.025480270385742
25.7021541595459,27.0,1.2978458404541016
27.175798416137695,22.0,5.175798416137695
27.408647537231445,29.0,1.5913524627685547
16.32838249206543,19.0,2.6716175079345703
19.72887420654297,25.0,5.271125793457031
27.329248428344727,30.0,2.6707515716552734
23.364578247070312,29.0,5.6354217529296875
25.77142906188965,23.0,2.7714290618896484
18.858335494995117,27.0,8.141664505004883
19.38344383239746,29.0,9.616556167602539
27.003114700317383,29.0,1.9968852996826172
11.274182319641113,15.0,3.7258176803588867
27.43115234375,27.0,0.43115234375
23.458383560180664,20.0,3.458383560180664
23.22838020324707,29.0,5.77161979675293
24.79811668395996,28.0,3.201883316040039
11.911077499389648,1.0,10.911077499389648
10.779927253723145,18.0,7.2200727462768555
17.1579647064209,16.0,1.1579647064208984
26.5294132232666,30.0,3.4705867767333984
20.59259605407715,26.0,5.407403945922852
16.920507431030273,29.0,12.079492568969727
20.096851348876953,19.0,1.0968513488769531
24.092334747314453,28.0,3.907665252685547
14.931733131408691,15.0,0.0682668685913086
23.308944702148438,19.0,4.3089447021484375
27.407995223999023,27.0,0.40799522399902344
19.138750076293945,20.0,0.8612499237060547
20.119768142700195,18.0,2.1197681427001953
19.308744430541992,21.0,1.6912555694580078
26.027265548706055,26.0,0.027265548706054688
11.145281791687012,18.0,6.854718208312988
17.463897705078125,17.0,0.463897705078125
21.496606826782227,25.0,3.5033931732177734
12.8279390335083,17.0,4.172060966491699
27.43157386779785,27.0,0.43157386779785156
19.284011840820312,29.0,9.715988159179688
12.600899696350098,17.0,4.399100303649902
26.697891235351562,25.0,1.6978912353515625
27.479564666748047,30.0,2.520435333251953
23.638734817504883,20.0,3.638734817504883
27.280134201049805,30.0,2.7198657989501953
13.696043014526367,13.0,0.6960430145263672
18.335329055786133,24.0,5.664670944213867
16.311044692993164,15.0,1.311044692993164
18.23970603942871,8.0,10.239706039428711
26.683555603027344,29.0,2.3164443969726562
26.815603256225586,27.0,0.18439674377441406
27.20024299621582,30.0,2.7997570037841797
17.82011604309082,28.0,10.17988395690918
20.003122329711914,17.0,3.003122329711914
27.230012893676758,29.0,1.7699871063232422
27.471141815185547,29.0,1.5288581848144531
27.428884506225586,30.0,2.571115493774414
15.934569358825684,17.0,1.0654306411743164
15.002853393554688,11.0,4.0028533935546875
27.39299964904785,30.0,2.6070003509521484
25.14450454711914,29.0,3.8554954528808594
27.339536666870117,26.0,1.3395366668701172
13.811222076416016,7.0,6.811222076416016
27.338979721069336,29.0,1.661020278930664
27.062219619750977,30.0,2.9377803802490234
